home_team,away_team,home_goals,away_goals,result,season
Crystal Palace,Southampton,0.0,1.0,A,2017-2018
Huddersfield Town,Leicester City,1.0,1.0,D,2017-2018
Liverpool,Burnley,1.0,1.0,D,2017-2018
Newcastle United,Stoke City,2.0,1.0,H,2017-2018
Watford,Manchester City,0.0,6.0,A,2017-2018
West Bromwich Albion,West Ham United,0.0,0.0,D,2017-2018
Tottenham Hotspur,Swansea City,0.0,0.0,D,2017-2018
Chelsea,Arsenal,0.0,0.0,D,2017-2018
Manchester United,Everton,4.0,0.0,H,2017-2018
West Ham United,Tottenham Hotspur,2.0,3.0,A,2017-2018
Burnley,Huddersfield Town,0.0,0.0,D,2017-2018
Everton,AFC Bournemouth,2.0,1.0,H,2017-2018
Manchester City,Crystal Palace,5.0,0.0,H,2017-2018
Southampton,Manchester United,0.0,1.0,A,2017-2018
Stoke City,Chelsea,0.0,4.0,A,2017-2018
Swansea City,Watford,1.0,2.0,A,2017-2018
Leicester City,Liverpool,2.0,3.0,A,2017-2018
Brighton and Hove Albion,Newcastle United,1.0,0.0,H,2017-2018
Arsenal,West Bromwich Albion,2.0,0.0,H,2017-2018
Huddersfield Town,Tottenham Hotspur,0.0,4.0,A,2017-2018
AFC Bournemouth,Leicester City,0.0,0.0,D,2017-2018
Manchester United,Crystal Palace,4.0,0.0,H,2017-2018
Stoke City,Southampton,2.0,1.0,H,2017-2018
West Bromwich Albion,Watford,2.0,2.0,D,2017-2018
West Ham United,Swansea City,1.0,0.0,H,2017-2018
Chelsea,Manchester City,0.0,1.0,A,2017-2018
Arsenal,Brighton and Hove Albion,2.0,0.0,H,2017-2018
Everton,Burnley,0.0,1.0,A,2017-2018
Newcastle United,Liverpool,1.0,1.0,D,2017-2018
Liverpool,Manchester United,0.0,0.0,D,2017-2018
Burnley,West Ham United,1.0,1.0,D,2017-2018
Crystal Palace,Chelsea,2.0,1.0,H,2017-2018
Manchester City,Stoke City,7.0,2.0,H,2017-2018
Swansea City,Huddersfield Town,2.0,0.0,H,2017-2018
Tottenham Hotspur,AFC Bournemouth,1.0,0.0,H,2017-2018
Watford,Arsenal,2.0,1.0,H,2017-2018
Brighton and Hove Albion,Everton,1.0,1.0,D,2017-2018
Southampton,Newcastle United,2.0,2.0,D,2017-2018
Leicester City,West Bromwich Albion,1.0,1.0,D,2017-2018
West Ham United,Brighton and Hove Albion,0.0,3.0,A,2017-2018
Chelsea,Watford,4.0,2.0,H,2017-2018
Huddersfield Town,Manchester United,2.0,1.0,H,2017-2018
Manchester City,Burnley,3.0,0.0,H,2017-2018
Newcastle United,Crystal Palace,1.0,0.0,H,2017-2018
Stoke City,AFC Bournemouth,1.0,2.0,A,2017-2018
Swansea City,Leicester City,1.0,2.0,A,2017-2018
Southampton,West Bromwich Albion,1.0,0.0,H,2017-2018
Everton,Arsenal,2.0,5.0,A,2017-2018
Tottenham Hotspur,Liverpool,4.0,1.0,H,2017-2018
Manchester United,Tottenham Hotspur,1.0,0.0,H,2017-2018
Arsenal,Swansea City,2.0,1.0,H,2017-2018
Crystal Palace,West Ham United,2.0,2.0,D,2017-2018
Liverpool,Huddersfield Town,3.0,0.0,H,2017-2018
Watford,Stoke City,0.0,1.0,A,2017-2018
West Bromwich Albion,Manchester City,2.0,3.0,A,2017-2018
AFC Bournemouth,Chelsea,0.0,1.0,A,2017-2018
Brighton and Hove Albion,Southampton,1.0,1.0,D,2017-2018
Leicester City,Everton,2.0,0.0,H,2017-2018
Burnley,Newcastle United,1.0,0.0,H,2017-2018
Stoke City,Leicester City,2.0,2.0,D,2017-2018
Huddersfield Town,West Bromwich Albion,1.0,0.0,H,2017-2018
Newcastle United,AFC Bournemouth,0.0,1.0,A,2017-2018
Southampton,Burnley,0.0,1.0,A,2017-2018
Swansea City,Brighton and Hove Albion,0.0,1.0,A,2017-2018
West Ham United,Liverpool,1.0,4.0,A,2017-2018
Tottenham Hotspur,Crystal Palace,1.0,0.0,H,2017-2018
Manchester City,Arsenal,3.0,1.0,H,2017-2018
Chelsea,Manchester United,1.0,0.0,H,2017-2018
Everton,Watford,3.0,2.0,H,2017-2018
Arsenal,Tottenham Hotspur,2.0,0.0,H,2017-2018
AFC Bournemouth,Huddersfield Town,4.0,0.0,H,2017-2018
Burnley,Swansea City,2.0,0.0,H,2017-2018
Crystal Palace,Everton,2.0,2.0,D,2017-2018
Leicester City,Manchester City,0.0,2.0,A,2017-2018
Liverpool,Southampton,3.0,0.0,H,2017-2018
West Bromwich Albion,Chelsea,0.0,4.0,A,2017-2018
Manchester United,Newcastle United,4.0,1.0,H,2017-2018
Watford,West Ham United,2.0,0.0,H,2017-2018
Brighton and Hove Albion,Stoke City,2.0,2.0,D,2017-2018
West Ham United,Leicester City,1.0,1.0,D,2017-2018
Crystal Palace,Stoke City,2.0,1.0,H,2017-2018
Manchester United,Brighton and Hove Albion,1.0,0.0,H,2017-2018
Newcastle United,Watford,0.0,3.0,A,2017-2018
Swansea City,AFC Bournemouth,0.0,0.0,D,2017-2018
Tottenham Hotspur,West Bromwich Albion,1.0,1.0,D,2017-2018
Liverpool,Chelsea,1.0,1.0,D,2017-2018
Southampton,Everton,4.0,1.0,H,2017-2018
Burnley,Arsenal,0.0,1.0,A,2017-2018
Huddersfield Town,Manchester City,1.0,2.0,A,2017-2018
Brighton and Hove Albion,Crystal Palace,0.0,0.0,D,2017-2018
Leicester City,Tottenham Hotspur,2.0,1.0,H,2017-2018
Watford,Manchester United,2.0,4.0,A,2017-2018
West Bromwich Albion,Newcastle United,2.0,2.0,D,2017-2018
Arsenal,Huddersfield Town,5.0,0.0,H,2017-2018
AFC Bournemouth,Burnley,1.0,2.0,A,2017-2018
Chelsea,Swansea City,1.0,0.0,H,2017-2018
Everton,West Ham United,4.0,0.0,H,2017-2018
Manchester City,Southampton,2.0,1.0,H,2017-2018
Stoke City,Liverpool,0.0,3.0,A,2017-2018
Chelsea,Newcastle United,3.0,1.0,H,2017-2018
Brighton and Hove Albion,Liverpool,1.0,5.0,A,2017-2018
Everton,Huddersfield Town,2.0,0.0,H,2017-2018
Leicester City,Burnley,1.0,0.0,H,2017-2018
Stoke City,Swansea City,2.0,1.0,H,2017-2018
Watford,Tottenham Hotspur,1.0,1.0,D,2017-2018
West Bromwich Albion,Crystal Palace,0.0,0.0,D,2017-2018
Arsenal,Manchester United,1.0,3.0,A,2017-2018
AFC Bournemouth,Southampton,1.0,1.0,D,2017-2018
Manchester City,West Ham United,2.0,1.0,H,2017-2018
West Ham United,Chelsea,1.0,0.0,H,2017-2018
Burnley,Watford,1.0,0.0,H,2017-2018
Crystal Palace,AFC Bournemouth,2.0,2.0,D,2017-2018
Huddersfield Town,Brighton and Hove Albion,2.0,0.0,H,2017-2018
Swansea City,West Bromwich Albion,1.0,0.0,H,2017-2018
Tottenham Hotspur,Stoke City,5.0,1.0,H,2017-2018
Newcastle United,Leicester City,2.0,3.0,A,2017-2018
Southampton,Arsenal,1.0,1.0,D,2017-2018
Liverpool,Everton,1.0,1.0,D,2017-2018
Manchester United,Manchester City,1.0,2.0,A,2017-2018
Burnley,Stoke City,1.0,0.0,H,2017-2018
Crystal Palace,Watford,2.0,1.0,H,2017-2018
Huddersfield Town,Chelsea,1.0,3.0,A,2017-2018
Newcastle United,Everton,0.0,1.0,A,2017-2018
Southampton,Leicester City,1.0,4.0,A,2017-2018
Swansea City,Manchester City,0.0,4.0,A,2017-2018
Liverpool,West Bromwich Albion,0.0,0.0,D,2017-2018
Manchester United,AFC Bournemouth,1.0,0.0,H,2017-2018
Tottenham Hotspur,Brighton and Hove Albion,2.0,0.0,H,2017-2018
West Ham United,Arsenal,0.0,0.0,D,2017-2018
Leicester City,Crystal Palace,0.0,3.0,A,2017-2018
Arsenal,Newcastle United,1.0,0.0,H,2017-2018
Brighton and Hove Albion,Burnley,0.0,0.0,D,2017-2018
Chelsea,Southampton,1.0,0.0,H,2017-2018
Watford,Huddersfield Town,1.0,4.0,A,2017-2018
Stoke City,West Ham United,0.0,3.0,A,2017-2018
Manchester City,Tottenham Hotspur,4.0,1.0,H,2017-2018
West Bromwich Albion,Manchester United,1.0,2.0,A,2017-2018
AFC Bournemouth,Liverpool,0.0,4.0,A,2017-2018
Everton,Swansea City,3.0,1.0,H,2017-2018
Arsenal,Liverpool,3.0,3.0,D,2017-2018
Everton,Chelsea,0.0,0.0,D,2017-2018
Brighton and Hove Albion,Watford,1.0,0.0,H,2017-2018
Manchester City,AFC Bournemouth,4.0,0.0,H,2017-2018
Southampton,Huddersfield Town,1.0,1.0,D,2017-2018
Stoke City,West Bromwich Albion,3.0,1.0,H,2017-2018
Swansea City,Crystal Palace,1.0,1.0,D,2017-2018
West Ham United,Newcastle United,2.0,3.0,A,2017-2018
Burnley,Tottenham Hotspur,0.0,3.0,A,2017-2018
Leicester City,Manchester United,2.0,2.0,D,2017-2018
Tottenham Hotspur,Southampton,5.0,2.0,H,2017-2018
AFC Bournemouth,West Ham United,3.0,3.0,D,2017-2018
Chelsea,Brighton and Hove Albion,2.0,0.0,H,2017-2018
Huddersfield Town,Stoke City,1.0,1.0,D,2017-2018
Manchester United,Burnley,2.0,2.0,D,2017-2018
Watford,Leicester City,2.0,1.0,H,2017-2018
West Bromwich Albion,Everton,0.0,0.0,D,2017-2018
Liverpool,Swansea City,5.0,0.0,H,2017-2018
Newcastle United,Manchester City,0.0,1.0,A,2017-2018
Crystal Palace,Arsenal,2.0,3.0,A,2017-2018
AFC Bournemouth,Everton,2.0,1.0,H,2017-2018
Chelsea,Stoke City,5.0,0.0,H,2017-2018
Huddersfield Town,Burnley,0.0,0.0,D,2017-2018
Liverpool,Leicester City,2.0,1.0,H,2017-2018
Newcastle United,Brighton and Hove Albion,0.0,0.0,D,2017-2018
Watford,Swansea City,1.0,2.0,A,2017-2018
Manchester United,Southampton,0.0,0.0,D,2017-2018
Crystal Palace,Manchester City,0.0,0.0,D,2017-2018
West Bromwich Albion,Arsenal,1.0,1.0,D,2017-2018
Brighton and Hove Albion,AFC Bournemouth,2.0,2.0,D,2017-2018
Burnley,Liverpool,1.0,2.0,A,2017-2018
Leicester City,Huddersfield Town,3.0,0.0,H,2017-2018
Stoke City,Newcastle United,0.0,1.0,A,2017-2018
Everton,Manchester United,0.0,2.0,A,2017-2018
Southampton,Crystal Palace,1.0,2.0,A,2017-2018
Swansea City,Tottenham Hotspur,0.0,2.0,A,2017-2018
West Ham United,West Bromwich Albion,2.0,1.0,H,2017-2018
Manchester City,Watford,3.0,1.0,H,2017-2018
Arsenal,Chelsea,2.0,2.0,D,2017-2018
Tottenham Hotspur,West Ham United,1.0,1.0,D,2017-2018
Chelsea,Leicester City,0.0,0.0,D,2017-2018
Crystal Palace,Burnley,1.0,0.0,H,2017-2018
Huddersfield Town,West Ham United,1.0,4.0,A,2017-2018
Newcastle United,Swansea City,1.0,1.0,D,2017-2018
Watford,Southampton,2.0,2.0,D,2017-2018
West Bromwich Albion,Brighton and Hove Albion,2.0,0.0,H,2017-2018
Tottenham Hotspur,Everton,4.0,0.0,H,2017-2018
AFC Bournemouth,Arsenal,2.0,1.0,H,2017-2018
Liverpool,Manchester City,4.0,3.0,H,2017-2018
Manchester United,Stoke City,3.0,0.0,H,2017-2018
Brighton and Hove Albion,Chelsea,0.0,4.0,A,2017-2018
Arsenal,Crystal Palace,4.0,1.0,H,2017-2018
Burnley,Manchester United,0.0,1.0,A,2017-2018
Everton,West Bromwich Albion,1.0,1.0,D,2017-2018
Leicester City,Watford,2.0,0.0,H,2017-2018
Stoke City,Huddersfield Town,2.0,0.0,H,2017-2018
West Ham United,AFC Bournemouth,1.0,1.0,D,2017-2018
Manchester City,Newcastle United,3.0,1.0,H,2017-2018
Southampton,Tottenham Hotspur,1.0,1.0,D,2017-2018
Swansea City,Liverpool,1.0,0.0,H,2017-2018
Swansea City,Arsenal,3.0,1.0,H,2017-2018
West Ham United,Crystal Palace,1.0,1.0,D,2017-2018
Huddersfield Town,Liverpool,0.0,3.0,A,2017-2018
Chelsea,AFC Bournemouth,0.0,3.0,A,2017-2018
Everton,Leicester City,2.0,1.0,H,2017-2018
Newcastle United,Burnley,1.0,1.0,D,2017-2018
Southampton,Brighton and Hove Albion,1.0,1.0,D,2017-2018
Manchester City,West Bromwich Albion,3.0,0.0,H,2017-2018
Stoke City,Watford,0.0,0.0,D,2017-2018
Tottenham Hotspur,Manchester United,2.0,0.0,H,2017-2018
Burnley,Manchester City,1.0,1.0,D,2017-2018
AFC Bournemouth,Stoke City,2.0,1.0,H,2017-2018
Brighton and Hove Albion,West Ham United,3.0,1.0,H,2017-2018
Leicester City,Swansea City,1.0,1.0,D,2017-2018
Manchester United,Huddersfield Town,2.0,0.0,H,2017-2018
West Bromwich Albion,Southampton,2.0,3.0,A,2017-2018
Arsenal,Everton,5.0,1.0,H,2017-2018
Crystal Palace,Newcastle United,1.0,1.0,D,2017-2018
Liverpool,Tottenham Hotspur,2.0,2.0,D,2017-2018
Watford,Chelsea,4.0,1.0,H,2017-2018
Tottenham Hotspur,Arsenal,1.0,0.0,H,2017-2018
Everton,Crystal Palace,3.0,1.0,H,2017-2018
Stoke City,Brighton and Hove Albion,1.0,1.0,D,2017-2018
Swansea City,Burnley,1.0,0.0,H,2017-2018
West Ham United,Watford,2.0,0.0,H,2017-2018
Manchester City,Leicester City,5.0,1.0,H,2017-2018
Huddersfield Town,AFC Bournemouth,4.0,1.0,H,2017-2018
Newcastle United,Manchester United,1.0,0.0,H,2017-2018
Southampton,Liverpool,0.0,2.0,A,2017-2018
Chelsea,West Bromwich Albion,3.0,0.0,H,2017-2018
Leicester City,Stoke City,1.0,1.0,D,2017-2018
AFC Bournemouth,Newcastle United,2.0,2.0,D,2017-2018
Brighton and Hove Albion,Swansea City,4.0,1.0,H,2017-2018
Burnley,Southampton,1.0,1.0,D,2017-2018
Liverpool,West Ham United,4.0,1.0,H,2017-2018
West Bromwich Albion,Huddersfield Town,1.0,2.0,A,2017-2018
Watford,Everton,1.0,0.0,H,2017-2018
Crystal Palace,Tottenham Hotspur,0.0,1.0,A,2017-2018
Manchester United,Chelsea,2.0,1.0,H,2017-2018
Arsenal,Manchester City,0.0,3.0,A,2017-2018
Burnley,Everton,2.0,1.0,H,2017-2018
Leicester City,AFC Bournemouth,1.0,1.0,D,2017-2018
Southampton,Stoke City,0.0,0.0,D,2017-2018
Swansea City,West Ham United,4.0,1.0,H,2017-2018
Tottenham Hotspur,Huddersfield Town,2.0,0.0,H,2017-2018
Watford,West Bromwich Albion,1.0,0.0,H,2017-2018
Liverpool,Newcastle United,2.0,0.0,H,2017-2018
Brighton and Hove Albion,Arsenal,2.0,1.0,H,2017-2018
Manchester City,Chelsea,1.0,0.0,H,2017-2018
Crystal Palace,Manchester United,2.0,3.0,A,2017-2018
Manchester United,Liverpool,2.0,1.0,H,2017-2018
Everton,Brighton and Hove Albion,2.0,0.0,H,2017-2018
Huddersfield Town,Swansea City,0.0,0.0,D,2017-2018
Newcastle United,Southampton,3.0,0.0,H,2017-2018
West Bromwich Albion,Leicester City,1.0,4.0,A,2017-2018
West Ham United,Burnley,0.0,3.0,A,2017-2018
Chelsea,Crystal Palace,2.0,1.0,H,2017-2018
Arsenal,Watford,3.0,0.0,H,2017-2018
AFC Bournemouth,Tottenham Hotspur,1.0,4.0,A,2017-2018
Stoke City,Manchester City,0.0,2.0,A,2017-2018
AFC Bournemouth,West Bromwich Albion,2.0,1.0,H,2017-2018
Huddersfield Town,Crystal Palace,0.0,2.0,A,2017-2018
Stoke City,Everton,1.0,2.0,A,2017-2018
Liverpool,Watford,5.0,0.0,H,2017-2018
Crystal Palace,Liverpool,1.0,2.0,A,2017-2018
Brighton and Hove Albion,Leicester City,0.0,2.0,A,2017-2018
Manchester United,Swansea City,2.0,0.0,H,2017-2018
Newcastle United,Huddersfield Town,1.0,0.0,H,2017-2018
Watford,AFC Bournemouth,2.0,2.0,D,2017-2018
West Bromwich Albion,Burnley,1.0,2.0,A,2017-2018
West Ham United,Southampton,3.0,0.0,H,2017-2018
Everton,Manchester City,1.0,3.0,A,2017-2018
Arsenal,Stoke City,3.0,0.0,H,2017-2018
Chelsea,Tottenham Hotspur,1.0,3.0,A,2017-2018
Everton,Liverpool,0.0,0.0,D,2017-2018
AFC Bournemouth,Crystal Palace,2.0,2.0,D,2017-2018
Brighton and Hove Albion,Huddersfield Town,1.0,1.0,D,2017-2018
Leicester City,Newcastle United,1.0,2.0,A,2017-2018
Stoke City,Tottenham Hotspur,1.0,2.0,A,2017-2018
Watford,Burnley,1.0,2.0,A,2017-2018
West Bromwich Albion,Swansea City,1.0,1.0,D,2017-2018
Manchester City,Manchester United,2.0,3.0,A,2017-2018
Arsenal,Southampton,3.0,2.0,H,2017-2018
Chelsea,West Ham United,1.0,1.0,D,2017-2018
Southampton,Chelsea,2.0,3.0,A,2017-2018
Burnley,Leicester City,2.0,1.0,H,2017-2018
Crystal Palace,Brighton and Hove Albion,3.0,2.0,H,2017-2018
Huddersfield Town,Watford,1.0,0.0,H,2017-2018
Swansea City,Everton,1.0,1.0,D,2017-2018
Liverpool,AFC Bournemouth,3.0,0.0,H,2017-2018
Tottenham Hotspur,Manchester City,1.0,3.0,A,2017-2018
Newcastle United,Arsenal,2.0,1.0,H,2017-2018
Manchester United,West Bromwich Albion,0.0,1.0,A,2017-2018
West Ham United,Stoke City,1.0,1.0,D,2017-2018
Brighton and Hove Albion,Tottenham Hotspur,1.0,1.0,D,2017-2018
AFC Bournemouth,Manchester United,0.0,2.0,A,2017-2018
Burnley,Chelsea,1.0,2.0,A,2017-2018
Leicester City,Southampton,0.0,0.0,D,2017-2018
West Bromwich Albion,Liverpool,2.0,2.0,D,2017-2018
Watford,Crystal Palace,0.0,0.0,D,2017-2018
Arsenal,West Ham United,4.0,1.0,H,2017-2018
Stoke City,Burnley,1.0,1.0,D,2017-2018
Manchester City,Swansea City,5.0,0.0,H,2017-2018
Everton,Newcastle United,1.0,0.0,H,2017-2018
Liverpool,Stoke City,0.0,0.0,D,2017-2018
Burnley,Brighton and Hove Albion,0.0,0.0,D,2017-2018
Crystal Palace,Leicester City,5.0,0.0,H,2017-2018
Huddersfield Town,Everton,0.0,2.0,A,2017-2018
Newcastle United,West Bromwich Albion,0.0,1.0,A,2017-2018
Southampton,AFC Bournemouth,2.0,1.0,H,2017-2018
Swansea City,Chelsea,0.0,1.0,A,2017-2018
West Ham United,Manchester City,1.0,4.0,A,2017-2018
Manchester United,Arsenal,2.0,1.0,H,2017-2018
Tottenham Hotspur,Watford,2.0,0.0,H,2017-2018
Brighton and Hove Albion,Manchester United,1.0,0.0,H,2017-2018
Stoke City,Crystal Palace,1.0,2.0,A,2017-2018
AFC Bournemouth,Swansea City,1.0,0.0,H,2017-2018
Leicester City,West Ham United,0.0,2.0,A,2017-2018
Watford,Newcastle United,2.0,1.0,H,2017-2018
West Bromwich Albion,Tottenham Hotspur,1.0,0.0,H,2017-2018
Everton,Southampton,1.0,1.0,D,2017-2018
Manchester City,Huddersfield Town,0.0,0.0,D,2017-2018
Arsenal,Burnley,5.0,0.0,H,2017-2018
Chelsea,Liverpool,1.0,0.0,H,2017-2018
Swansea City,Southampton,0.0,1.0,A,2017-2018
Chelsea,Huddersfield Town,1.0,1.0,D,2017-2018
Leicester City,Arsenal,3.0,1.0,H,2017-2018
Manchester City,Brighton and Hove Albion,3.0,1.0,H,2017-2018
Tottenham Hotspur,Newcastle United,1.0,0.0,H,2017-2018
West Ham United,Manchester United,0.0,0.0,D,2017-2018
Burnley,AFC Bournemouth,1.0,2.0,A,2017-2018
Crystal Palace,West Bromwich Albion,2.0,0.0,H,2017-2018
Huddersfield Town,Arsenal,0.0,1.0,A,2017-2018
Liverpool,Brighton and Hove Albion,4.0,0.0,H,2017-2018
Manchester United,Watford,1.0,0.0,H,2017-2018
Newcastle United,Chelsea,3.0,0.0,H,2017-2018
Southampton,Manchester City,0.0,1.0,A,2017-2018
Swansea City,Stoke City,1.0,2.0,A,2017-2018
Tottenham Hotspur,Leicester City,5.0,4.0,H,2017-2018
West Ham United,Everton,3.0,1.0,H,2017-2018
